annotator	label
Marijke	Consent wife 
Marijke	Form APS (Assisted Passage Scheme)
Marijke	Form G.2 HAG (visa)
Marijke	Letter about procedure (Application Documents)
Marijke	Letter about procedure (Medical & Health Documents)
Marijke	Letter about procedure (Qualification & Employment Proof)
Marijke	Letter about procedure (Security & Political Screening Documents)
Marijke	Nominal Roll (excerpt)
Marijke	Report selection officer XS (Landing Permit)
Marijke	Testimonial divorce (Application Documents)
Marijke	Testimonial good conduct (Security & Political Screening Documents)
Marijke	Trade Pro forma
Rik	D2 (predecessor model 60)
Rik	Information on Professional Qualifications in the Netherlands
Rik	Letter Voogdij (Other)
Rik	Letter testimonial (Medical & Health Documents)
Rik	Letter testimonial (Other)
Rik	Onbekend
Rik	Service Declaration
Yeqian	Divorce certificate
Yeqian	Form K
Yeqian	accommodation proof
Yeqian	change surname certificate
Yeqian	check required of period in germany
Yeqian	consent of father
Yeqian	divorce proof
Yeqian	divorce proof? wealth proof?
Yeqian	handwritten memo
Yeqian	letter content extract
Yeqian	letter inquire medical investigation
Yeqian	letter to Australian secretary
Yeqian	medical officers advise
Yeqian	telegram asking for health check
Yeqian	telegram notification
